biß	biss
civilisierten	zivilisierten
Bewußtsein	Bewusstsein
daß	dass
Entschluß	Entschluss
Fäßchen	Fässchen
faßte	fasste
Fluß	Fluss
Gebiß	Gebiss
gefaßt	gefasst
gethan	getan
gewiß	gewiss
giebt	gibt
goß	goss
häßlich	hässlich
häusiger	häufiger
heb	lieb
heß	ließ
hißte	hisste
Kalte	Kälte
Kniee	Knie
Kompaß	Kompass
küßte	küsste
laß	lass
läßt	lässt
muß	muss
mußte	musste
müßte	müsste
mußten	mussten
müßten	müssten
naher	näher
Oberflache	Oberfläche
Ocean	Ozean
riß	riss
Schluß	Schluss
schoß	schoss
Schuß	Schuss
that	tat
Thatsache	Tatsache
Thätigkeit	Tätigkeit
thöricht	töricht
thörichten	törichten
Thorheit	Torheit
Thorheiten	Torheiten
Thräne	Träne
Thränen	Tränen
thun	tun
thunlich	tunlich
Thür	Tür
Überfluß	Überfluss
Umlaufe	Umläufe
Ungewißheit	Ungewissheit
vergiß	vergiss
wagerecht	waagerecht
Warme	Wärme
Wohlthat	Wohltat
wußte	wusste
wüßte	wüsste
